name,description,category,type
MSSubClass, Identifies the type of dwelling involved in the sale.,general,categorical
MSZoning, Identifies the general zoning classification of the sale.,general,categorical
LotFrontage, Linear feet of street connected to property,property,numeric
LotArea, Lot size in square feet,property,numeric
Street, Type of road access to property,property,categorical
Alley, Type of alley access to property,property,categorical
LotShape, General shape of property,property,categorical
LandContour, Flatness of the property,property,categorical
Utilities, Type of utilities available,utilities,categorical
LotConfig, Lot configuration,property,categorical
LandSlope, Slope of property,property,categorical
Neighborhood, Physical locations within Ames city limits,location,categorical
Condition1, Proximity to various conditions,location,categorical
Condition2, Proximity to various conditions (if more than one is present),location,categorical
BldgType, Type of dwelling,general,categorical
HouseStyle, Style of dwelling,general,categorical
OverallQual, Rates the overall material and finish of the house,general,categorical
OverallCond, Rates the overall condition of the house,general,categorical
YearBuilt, Original construction date,dates,numeric
YearRemodAdd, Remodel date (same as construction date if no remodeling or additions),dates,numeric
RoofStyle, Type of roof,exterior,categorical
RoofMatl, Roof material,exterior,categorical
Exterior1st, Exterior covering on house,exterior,categorical
Exterior2nd, Exterior covering on house (if more than one material),exterior,categorical
MasVnrType, Masonry veneer type,exterior,categorical
MasVnrArea, Masonry veneer area in square feet,exterior,numeric
ExterQual, Evaluates the quality of the material on the exterior,exterior,categorical
ExterCond, Evaluates the present condition of the material on the exterior,exterior,categorical
Foundation, Type of foundation,basement,categorical
BsmtQual, Evaluates the height of the basement,basement,categorical
BsmtCond, Evaluates the general condition of the basement,basement,categorical
BsmtExposure, Refers to walkout or garden level walls,basement,categorical
BsmtFinType1, Rating of basement finished area,basement,categorical
BsmtFinSF1, Type 1 finished square feet,basement,numeric
BsmtFinType2, Rating of basement finished area (if multiple types),basement,categorical
BsmtFinSF2, Type 2 finished square feet,basement,numeric
BsmtUnfSF, Unfinished square feet of basement area,basement,numeric
TotalBsmtSF, Total square feet of basement area,basement,numeric
Heating, Type of heating,utilities,categorical
HeatingQC, Heating quality and condition,utilities,categorical
CentralAir, Central air conditioning,utilities,categorical
Electrical, Electrical system,utilities,categorical
1stFlrSF, First Floor square feet,size,numeric
2ndFlrSF, Second floor square feet,size,numeric
LowQualFinSF, Low quality finished square feet (all floors),size,numeric
GrLivArea, Above grade (ground) living area square feet,size,numeric
BsmtFullBath, Basement full bathrooms,size,categorical
BsmtHalfBath, Basement half bathrooms,size,categorical
FullBath, Full bathrooms above grade,size,numeric
HalfBath, Half baths above grade,size,numeric
BedroomAbvGr, Bedrooms above grade (does NOT include basement bedrooms),size,numeric
KitchenAbvGr, Kitchens above grade,kitchen,numeric
KitchenQual, Kitchen quality,kitchen,categorical
TotRmsAbvGrd, Total rooms above grade (does not include bathrooms),size,numeric
Functional, Home functionality (Assume typical unless deductions are warranted),general,categorical
Fireplaces, Number of fireplaces,general,categorical
FireplaceQu, Fireplace quality,general,categorical
GarageType, Garage location,garage,categorical
GarageYrBlt, Year garage was built,garage,numeric
GarageFinish, Interior finish of the garage,garage,categorical
GarageCars, Size of garage in car capacity,garage,categorical
GarageArea, Size of garage in square feet,garage,numeric
GarageQual, Garage quality,garage,categorical
GarageCond, Garage condition,garage,categorical
PavedDrive, Paved driveway,garage,categorical
WoodDeckSF, Wood deck area in square feet,outside,numeric
OpenPorchSF, Open porch area in square feet,outside,numeric
EnclosedPorch, Enclosed porch area in square feet,outside,numeric
3SsnPorch, Three season porch area in square feet,outside,numeric
ScreenPorch, Screen porch area in square feet,outside,numeric
PoolArea, Pool area in square feet,outside,numeric
PoolQC, Pool quality,outside,numeric
Fence, Fence quality,outside,numeric
MiscFeature, Miscellaneous feature not covered in other categories,other,categorical
MiscVal, $Value of miscellaneous feature,other,categorical
MoSold, Month Sold (MM),dates,numeric
YrSold, Year Sold (YYYY),dates,numeric
SaleType, Type of sale,general,categorical
SaleCondition, Condition of sale,general,categorical
