name,description,category,type
MSSubClass, Identifies the type of dwelling involved in the sale.,general,category
MSZoning, Identifies the general zoning classification of the sale.,general,category
LotFrontage, Linear feet of street connected to property,property,numeric
LotArea, Lot size in square feet,property,numeric
Street, Type of road access to property,property,category
Alley, Type of alley access to property,property,category
LotShape, General shape of property,property,category
LandContour, Flatness of the property,property,category
Utilities, Type of utilities available,utilities,category
LotConfig, Lot configuration,property,category
LandSlope, Slope of property,property,category
Neighborhood, Physical locations within Ames city limits,location,category
Condition1, Proximity to various conditions,location,category
Condition2, Proximity to various conditions (if more than one is present),location,category
BldgType, Type of dwelling,general,category
HouseStyle, Style of dwelling,general,category
OverallQual, Rates the overall material and finish of the house,general,category
OverallCond, Rates the overall condition of the house,general,category
YearBuilt, Original construction date,dates,numeric
YearRemodAdd, Remodel date (same as construction date if no remodeling or additions),dates,numeric
RoofStyle, Type of roof,exterior,category
RoofMatl, Roof material,exterior,category
Exterior1st, Exterior covering on house,exterior,category
Exterior2nd, Exterior covering on house (if more than one material),exterior,category
MasVnrType, Masonry veneer type,exterior,category
MasVnrArea, Masonry veneer area in square feet,exterior,numeric
ExterQual, Evaluates the quality of the material on the exterior,exterior,category
ExterCond, Evaluates the present condition of the material on the exterior,exterior,category
Foundation, Type of foundation,basement,category
BsmtQual, Evaluates the height of the basement,basement,category
BsmtCond, Evaluates the general condition of the basement,basement,category
BsmtExposure, Refers to walkout or garden level walls,basement,category
BsmtFinType1, Rating of basement finished area,basement,category
BsmtFinSF1, Type 1 finished square feet,basement,numeric
BsmtFinType2, Rating of basement finished area (if multiple types),basement,category
BsmtFinSF2, Type 2 finished square feet,basement,numeric
BsmtUnfSF, Unfinished square feet of basement area,basement,numeric
TotalBsmtSF, Total square feet of basement area,basement,numeric
Heating, Type of heating,utilities,category
HeatingQC, Heating quality and condition,utilities,category
CentralAir, Central air conditioning,utilities,category
Electrical, Electrical system,utilities,category
1stFlrSF, First Floor square feet,size,numeric
2ndFlrSF, Second floor square feet,size,numeric
LowQualFinSF, Low quality finished square feet (all floors),size,numeric
GrLivArea, Above grade (ground) living area square feet,size,numeric
BsmtFullBath, Basement full bathrooms,size,category
BsmtHalfBath, Basement half bathrooms,size,category
FullBath, Full bathrooms above grade,size,numeric
HalfBath, Half baths above grade,size,numeric
BedroomAbvGr, Bedrooms above grade (does NOT include basement bedrooms),size,numeric
KitchenAbvGr, Kitchens above grade,kitchen,numeric
KitchenQual, Kitchen quality,kitchen,category
TotRmsAbvGrd, Total rooms above grade (does not include bathrooms),size,numeric
Functional, Home functionality (Assume typical unless deductions are warranted),general,category
Fireplaces, Number of fireplaces,general,category
FireplaceQu, Fireplace quality,general,category
GarageType, Garage location,garage,category
GarageYrBlt, Year garage was built,garage,numeric
GarageFinish, Interior finish of the garage,garage,category
GarageCars, Size of garage in car capacity,garage,category
GarageArea, Size of garage in square feet,garage,numeric
GarageQual, Garage quality,garage,category
GarageCond, Garage condition,garage,category
PavedDrive, Paved driveway,garage,category
WoodDeckSF, Wood deck area in square feet,outside,numeric
OpenPorchSF, Open porch area in square feet,outside,numeric
EnclosedPorch, Enclosed porch area in square feet,outside,numeric
3SsnPorch, Three season porch area in square feet,outside,numeric
ScreenPorch, Screen porch area in square feet,outside,numeric
PoolArea, Pool area in square feet,outside,numeric
PoolQC, Pool quality,outside,numeric
Fence, Fence quality,outside,numeric
MiscFeature, Miscellaneous feature not covered in other categories,other,category
MiscVal, $Value of miscellaneous feature,other,category
MoSold, Month Sold (MM),dates,numeric
YrSold, Year Sold (YYYY),dates,numeric
SaleType, Type of sale,general,category
SaleCondition, Condition of sale,general,category
